first_name,second_name,id,element_type,team_code,now_cost,minutes
Asmir,Begovic,29,1,91,4.5,3420
Mathew,Ryan,54,1,36,4.6,3420
Lewis,Dunk,55,2,36,4.5,3420
Jack,Cork,90,3,90,4.5,3420
Jordan,Pickford,135,1,11,4.9,3420
Jonas,Lössl,163,1,38,4.6,3420
Mathias,Jorgensen,171,2,38,4.5,3420
Harry,Maguire,198,2,13,5.5,3420
Lukasz,Fabianski,350,1,80,4.7,3420
Alfie,Mawson,357,2,80,5.1,3420
Ahmed El-Sayed,Hegazi,468,2,35,4.6,3386
Nathan,Aké,38,2,91,5,3352
César,Azpilicueta,97,2,8,6.9,3330
David,De Gea,260,1,1,5.9,3330
Ben,Foster,421,1,35,4.3,3330
Abdoulaye,Doucouré,414,3,57,5.2,3324
Shane,Duffy,56,2,36,4.6,3292
Pablo,Zabaleta,447,2,21,4.9,3289
Christopher,Schindler,164,2,38,4.6,3264
Granit,Xhaka,23,3,3,5.1,3259
Jamie,Vardy,209,4,13,8.8,3248
Dale,Stephens,63,3,36,4.5,3240
Hugo,Lloris,375,1,6,5.5,3240
Christian,Eriksen,387,3,6,9.7,3218
Jan,Vertonghen,380,2,6,6.1,3203
Ederson,Santana de Moraes,240,1,43,5.7,3195
Thibaut,Courtois,94,1,8,5.3,3150
Jack,Butland,328,1,110,5,3150
Martin,Olsson,358,2,80,5,3149
Joe,Allen,337,3,110,5.1,3139
Ryan,Bertrand,307,2,20,5.3,3135
Andros,Townsend,131,3,31,5.6,3120
Davy,Pröpper,490,3,36,5.3,3118
Nemanja,Matic,107,3,1,4.7,3117
Nick,Pope,469,1,90,5,3114
Luka,Milivojevic,132,3,31,5.2,3079
Harry,Kane,394,4,6,13.1,3074
Kevin,De Bruyne,252,3,43,10.3,3073
Aaron,Cresswell,443,2,21,4.9,3069
Aaron,Mooy,172,3,38,5.2,3066
Héctor,Bellerín,7,2,3,5.9,3050
Petr,Cech,2,1,3,5.3,3039
Xherdan,Shaqiri,342,3,110,6.1,3039
Kyle,Naughton,352,2,80,4.6,3030
Charlie,Daniels,34,2,91,4.7,3001
N'Golo,Kanté,111,3,8,4.9,2994
Nicolás,Otamendi,245,2,43,6.4,2966
Kasper,Schmeichel,189,1,13,5.1,2965
Bamidele,Alli,388,3,6,9,2957
Riyad,Mahrez,199,3,13,8.7,2948
Pascal,Groß,70,3,36,5.9,2928
Jamaal,Lascelles,290,2,4,4.9,2927
Mohamed,Salah,234,3,14,10.6,2905
Oriol,Romeu Vidal,320,3,20,4.2,2897
Wilfred,Ndidi,206,3,13,4.9,2896
Kurt,Zouma,99,2,110,5.4,2887
Fernando,Luiz Rosa,250,3,43,5,2880
Angelo,Ogbonna,444,2,21,4.2,2880
Romelu,Lukaku,285,4,1,11.5,2866
Marcos,Alonso,100,2,8,7.1,2855
Jordan,Ayew,373,4,80,5.4,2850
DeAndre,Yedlin,288,2,4,4.5,2842
Johann Berg,Gudmundsson,84,3,90,5,2831
Kieran,Gibbs,8,2,35,5,2826
Eric,Dier,384,3,6,4.7,2822
Wes,Morgan,191,2,13,4.4,2817
Richarlison,de Andrade,501,3,57,5.8,2817
Jay,Rodriguez,437,4,35,5.4,2807
Matt,Ritchie,295,3,4,5.4,2802
Cheikhou,Kouyaté,451,3,21,5,2798
Cédric,Soares,310,2,20,4.7,2794
Dusan,Tadic,318,3,20,6.2,2791
James,Tarkowski,79,2,90,4.6,2790
Kyle,Walker,379,2,43,6.6,2784
Salomón,Rondón,435,4,35,6,2765
Steve,Cook,33,2,91,4.6,2764
Roberto,Firmino,235,4,14,9.5,2760
Idrissa,Gueye,155,3,11,4.8,2749
Antonio,Valencia,267,2,1,6.9,2741
Erik,Pieters,332,2,110,4.7,2717
Simon,Francis,32,2,91,4.3,2708
Federico,Fernández,354,2,80,4.5,2676
Jake,Livermore,426,3,35,4.8,2671
Ben,Mee,77,2,90,4.9,2610
Mame Biram,Diouf,348,4,110,5.2,2592
Raheem,Sterling,247,3,43,9.1,2584
Tom,Carroll,367,3,80,4.3,2562
Michael,Keane,146,2,11,5.3,2559
Wilfried,Zaha,126,3,31,7.1,2549
Alexis,Sánchez,14,3,1,11.4,2546
Chris,Smalling,263,2,1,5.7,2535
Marc,Albrighton,200,3,13,5.5,2533
Davinson,Sánchez,520,2,6,6,2532
Wesley,Hoedt,525,2,20,5,2520
Craig,Dawson,424,2,35,4.8,2510
Ayoze,Pérez,302,4,4,5.5,2486
Stephen,Ward,78,2,90,4.8,2460
Joshua,King,51,4,91,7,2450
Tom,Ince,182,3,38,5.5,2450
Ashley,Young,277,3,1,4.8,2444
David,Silva,248,3,43,8.2,2431
Wayne,Hennessey,115,1,31,4.4,2430
James,McArthur,127,3,31,4.4,2425
Eden,Hazard,104,3,8,10.5,2417
Anthony,Knockaert,62,3,36,5.5,2415
Leroy,Sané,255,3,43,8.7,2415
Mark,Noble,450,3,21,5.3,2400
Jonathan,Hogg,174,3,38,4.4,2396
James,Tomkins,117,2,31,4.4,2386
Georginio,Wijnaldum,232,3,14,6.6,2381
José,Holebas,401,2,57,4.8,2381
Yohan,Cabaye,129,3,31,5.3,2374
Ryan,Shawcross,330,2,110,4.8,2371
Antonio,Rüdiger,103,2,8,5.8,2336
Christian,Kabasele,403,2,57,4.4,2329
Jeff,Hendrick,86,3,90,5.4,2326
Ben,Davies,381,2,6,5.8,2323
Marko,Arnautovic,340,3,21,7.1,2309
Danny,Simpson,193,2,13,4.3,2306
Allan-Roméo,Nyom,422,2,35,4.7,2306
Cesc,Fàbregas,105,3,8,6.8,2300
Matthew,Lowton,76,2,90,4.4,2295
Heung-Min,Son,390,3,6,8.3,2292
Shkodran,Mustafi,12,2,3,5.4,2272
Jonny,Evans,423,2,35,4.9,2269
Wayne,Rooney,161,4,11,7.1,2265
Jonjo,Shelvey,296,3,4,5.2,2264
Gylfi,Sigurdsson,359,3,11,8,2257
Virgil,van Dijk,311,2,14,5.7,2253
Nacho,Monreal,10,2,3,5.7,2241
Eric Maxim,Choupo-Moting,497,3,110,5.2,2241
Gaëtan,Bong,59,2,36,4.4,2237
Lewis,Cook,46,3,91,4.3,2234
Christian,Benteke,134,4,31,7.5,2234
Laurent,Koscielny,4,2,3,6,2225
Darren,Fletcher,346,3,110,4.7,2217
Adrian,Mariappa,405,2,57,4.1,2206
Alexandre,Lacazette,28,4,3,10.3,2197
Sadio,Mané,230,3,14,9.4,2189
Glenn,Murray,71,4,36,5.9,2184
Patrick,van Aanholt,124,2,31,5.2,2182
Jordan,Henderson,225,3,14,5.3,2169
Mesut,Özil,16,3,3,9.3,2161
Ashley,Barnes,93,4,90,5.3,2150
Sead,Kolasinac,13,2,3,5.8,2146
Paul,Pogba,282,3,1,7.9,2145
Rajiv,van La Parra,173,3,38,4.4,2131
Heurelho,Gomes,397,1,57,4.4,2128
Morgan,Schneiderlin,154,3,11,4.7,2124
Dejan,Lovren,215,2,14,5.3,2124
Tiemoué,Bakayoko,463,3,8,4.9,2121
Victor,Moses,102,2,8,6.5,2109
Florian,Lejeune,294,2,4,4.3,2103
Emre,Can,227,3,14,4.9,2089
Matt,Phillips,432,3,35,5.4,2087
Gary,Cahill,98,2,8,6.2,2082
Adam,Smith,35,2,91,4.8,2067
Andreas,Christensen,470,2,8,5.3,2067
Phil,Jagielka,140,2,11,4.7,2063
Álvaro,Morata,472,4,8,10.4,2055
Maya,Yoshida,308,2,20,4.6,2049
Sam,Clucas,519,3,80,4.7,2039
Manuel,Lanzini,453,3,21,6.6,2039
Mohamed,Diamé,298,3,4,4.6,2034
Bruno,Saltor Grau,58,2,36,4.5,2014
Ryan,Fraser,47,3,91,5.1,2003
Steven,Defour,85,3,90,5.4,1998
Joel,Matip,219,2,14,5.4,1995
Jordon,Ibe,45,3,91,4.6,1988
Callum,Wilson,48,4,91,5.6,1981
Jack,Stephens,313,2,20,4.5,1980
José Heriberto,Izquierdo Mena,517,3,36,5.9,1976
Phil,Jones,264,2,1,5.5,1973
Sergio,Agüero,257,4,43,11.5,1960
Dwight,Gayle,301,4,4,6.1,1946
Mike,van der Hoorn,356,2,80,4.4,1944
Dan,Gosling,43,3,91,4.8,1941
Andrew,Robertson,475,2,14,5,1940
Nathan,Redmond,324,3,20,5.9,1938
Gareth,Barry,151,3,35,4.4,1921
Juan,Mata,274,3,1,6.8,1919
Christian,Fuchs,192,2,13,4.7,1917
Chris,Brunt,434,3,35,5,1917
Kieran,Trippier,382,2,6,5.2,1912
Leighton,Baines,138,2,11,5.7,1909
Aaron,Lennon,153,3,90,5.4,1906
Tommy,Smith,166,2,38,4.7,1902
Joseph,Gomez,218,2,14,4.5,1901
Tom,Cleverley,408,3,57,5,1900
Tom,Davies,156,3,11,5.1,1892
Mousa,Dembélé,385,3,6,4.9,1875
Willian,Borges Da Silva,106,3,8,7,1874
Ruben,Loftus-Cheek,108,3,31,4.4,1871
Dominic,Calvert-Lewin,159,4,11,4.9,1871
Arthur,Masuaku,446,2,21,4.2,1867
Sung-yueng,Ki,363,3,80,4.6,1865
Andrew,Surman,41,3,91,4.3,1851
Steve,Mounie,188,4,38,5.5,1849
Benjamin,Chilwell,196,2,13,4.4,1848
Aaron,Ramsey,18,3,3,6.8,1844
Solomon,March,66,3,36,4.8,1838
Troy,Deeney,417,4,57,6.3,1836
André,Ayew,449,3,80,6.8,1834
Ashley,Williams,143,2,11,5.2,1830
Cuco,Martina,464,2,11,4.1,1830
Alex,Iwobi,21,3,3,5.1,1827
Daryl,Janmaat,404,2,57,4.8,1818
Laurent,Depoitre,187,4,38,5,1807
Jesse,Lingard,279,3,1,6,1807
Fraser,Forster,306,1,20,4.6,1800
Marcus,Rashford,284,4,1,7.3,1799
Christian,Atsu,300,3,4,4.8,1776
James,Milner,222,2,14,6,1759
Javier,Manquillo,477,2,4,4.2,1757
Ciaran,Clark,289,2,4,4.3,1745
Jeffrey,Schlupp,123,2,31,4.7,1742
Fabian,Delph,246,3,43,4.5,1740
Alex,Oxlade-Chamberlain,19,3,14,5.5,1718
Mario,Lemina,500,3,20,4.8,1715
Tammy,Abraham,374,4,80,5.4,1715
